date,count
2018-05-22,112
2018-05-23,130
2018-05-24,187
2018-05-25,188
2018-05-26,178
2018-05-27,87
2018-05-28,127
2018-05-29,37
2018-05-30,112
2018-05-31,88
2018-06-01,65
2018-06-02,157
2018-06-03,222
2018-06-04,232
2018-06-05,141
2018-06-06,120
2018-06-07,147
2018-06-08,121
2018-06-09,40
2018-06-10,61
2018-06-11,75
2018-06-12,105
2018-06-13,91
2018-06-14,126
2018-06-15,104
2018-06-16,32
2018-06-17,64
2018-06-18,125
2018-06-19,40
2018-06-20,50
2018-06-21,72
2018-06-22,116
2018-06-23,56
2018-06-24,79
2018-06-25,81
2018-06-26,79
2018-06-27,76
2018-06-28,139
2018-06-29,118
2018-06-30,54
2018-07-01,50
2018-07-02,32
2018-07-03,64
2018-07-04,34
2018-07-05,149
2018-07-06,45
2018-07-07,19
2018-07-08,52
2018-07-09,30
2018-07-10,61
2018-07-11,111
2018-07-12,70
2018-07-13,149
2018-07-14,92
2018-07-15,47
2018-07-16,115
2018-07-17,159
2018-07-18,77
2018-07-19,36
2018-07-20,150
2018-07-21,74
2018-07-22,58
2018-07-23,90
2018-07-24,47
2018-07-25,97
2018-07-26,51
2018-07-27,93
2018-07-28,73
2018-07-29,63
2018-07-30,148
2018-07-31,78
2018-08-01,57
2018-08-02,38
2018-08-03,74
2018-08-04,58
2018-08-05,69
2018-08-06,105
2018-08-07,186
2018-08-08,128
2018-08-09,131
2018-08-10,62
2018-08-11,58
2018-08-12,40
2018-08-13,121
2018-08-14,130
2018-08-15,41
2018-08-16,125
2018-08-17,138
2018-08-18,131
2018-08-19,154
2018-08-20,126
2018-08-21,108
2018-08-22,89
2018-08-23,145
2018-08-24,93
2018-08-25,106
2018-08-26,71
2018-08-27,48
2018-08-28,104
2018-08-29,54
2018-08-30,72
2018-08-31,92
2018-09-01,35
2018-09-02,70
2018-09-03,82
2018-09-04,119
2018-09-05,153
2018-09-06,203
2018-09-07,35
2018-09-08,109
2018-09-09,47
2018-09-10,64
2018-09-11,135
2018-09-12,47
2018-09-13,84
2018-09-14,63
2018-09-15,57
2018-09-16,56
2018-09-17,112
2018-09-18,167
2018-09-19,227
2018-09-20,266
2018-09-21,478
2018-09-22,150
2018-09-23,123
2018-09-24,270
2018-09-25,236
2018-09-26,260
2018-09-27,144
2018-09-28,298
2018-09-29,86
2018-09-30,149
2018-10-01,278
2018-10-02,265
2018-10-03,165
2018-10-04,171
2018-10-05,121
2018-10-06,62
2018-10-07,156
2018-10-08,62
2018-10-09,89
2018-10-10,134
2018-10-11,154
2018-10-12,152
2018-10-13,96
2018-10-14,26
2018-10-15,90
2018-10-16,200
2018-10-17,121
2018-10-18,108
2018-10-19,191
2018-10-20,160
2018-10-21,71
2018-10-22,232
2018-10-23,75
2018-10-24,124
2018-10-25,75
2018-10-26,147
2018-10-27,82
2018-10-28,38
2018-10-29,94
2018-10-30,150
2018-10-31,176
2018-11-01,78
2018-11-02,62
2018-11-03,108
